,ID Number,Degree,Major,Honors,Departmental Honors,Printed Name,Phonetic Spelling,First Name,Middle Name,Last Name,Grad Date,Street Address,"Apt., Ste., Bldg.",City,State,Province,Postal Code,Country,Phone,Email,ID Number.1,Notes,Extra Notes,NO,Unnamed: 24,Unnamed: 25,Unnamed: 26
83,S8664258,B.A.,Psychology,Summa Cum Laude  ,,Upfnl T. Atdx,UpfnlAtdx,Upfnl,T,Atdx,2022-05-02 00:00:00,XXXXXXX,,Matteson,IL,,60443,USA,(071)666-8966,Upfnl.Atdx@my.fisk.edu,S8664258,Dept Approved,,,,,
84,C6942111,B.A.,Psychology,,,Vfyouoi J. Jkthen,VfyouoiJkthen,Vfyouoi,Jixe,Jkthen,2022-05-02 00:00:00,XXXXXXX,,Belleville,IL,,62221,USA,(011)044-6436,Vfyouoi.Jkthen@my.fisk.edu,C6942111,Dept Approved,,,,,
85,R9915077,B.A.,Psychology,Summa Cum Laude  ,,Rtsoe O. Vemwng,RtsoeVemwng,Rtsoe,O,Vemwng,2022-05-01 00:00:00,XXXXXXX,,Macon ,GA,,31216,USA,(363)758-6669,Rtsoe.Vemwng@my.fisk.edu,R9915077,Dept Approved,,,,,
86,L0317046,B.A.,Psychology,Summa Cum Laude  ,,Dkovkpm V. Xiqhianq,DkovkpmXiqhianq,Dkovkpm,Vt,Xiqhianq,2022-05-02 00:00:00,XXXXXXX,,Nashville ,TN,,37207,USA,(174)613-4167,Dkovkpm.Xiqhianq@my.fisk.edu,L0317046,Dept Approved,,,,,
87,F4353351,B.A.,Psychology,,,Zch J. Xsby,ZchXsby,Zch,Jifz,Xsby,2022-05-02 00:00:00,XXXXXXX,,Nashville ,TN,,37207,USA,(237)588-3678,Zch.Xsby@my.fisk.edu,F4353351,Dept Approved,Dr. Peters,,,,
88,V4407818,B.A.,Psychology,,,Vcxmhzlo P. Qkskixf,VcxmhzloQkskixf,Vcxmhzlo,Pw,Qkskixf,2022-05-04 00:00:00,XXXXXXX,,Riverdale,GA,,30298,USA,(102)949-3698,Vcxmhzlo.Qkskixf@my.fisk.edu,V4407818,Dept Approved,,,,,
89,J8880623,B.A.,Psychology,Cum Laude  ,,Mzp L. Vxtoivbrj,MzpVxtoivbrj,Mzp,Ltqvp,Vxtoivbrj,2022-05-02 00:00:00,XXXXXXX,,Baton Rouge,LA,,70815,USA,(640)837-7205,Mzp.Vxtoivbrj@my.fisk.edu,J8880623,Dept Approved,,,,,
90,H3022856,B.A.,Psychology,Magna Cum Laude ,,Dhqffuy K. Dkexfydu,DhqffuyDkexfydu,Dhqffuy,Kjlij,Dkexfydu,2022-05-02 00:00:00,XXXXXXX,,Madison,TN,,37115,USA,(427)134-3197,Dhqffuy.Dkexfydu@my.fisk.edu,H3022856,Dept Approved,,,,,
91,W2576884,B.A.,Psychology,,,Bgzmb J. Ymgjwllhq,BgzmbYmgjwllhq,Bgzmb,Jgp,Ymgjwllhq,2022-05-02 00:00:00,XXXXXXX,Apt 737,Hermitage ,TN,,37076,USA,(692)208-1197,Bgzmb.Ymgjwllhq@my.fisk.edu,W2576884,Dept Approved,,,,,
92,L0652618,B.A.,Psychology,,,Rfrdrwkg R. Jfv,RfrdrwkgJfv,Rfrdrwkg,Rkdh,Jfv,2022-05-02 00:00:00,XXXXXXX,,St.Louis,MO,,63112,USA,(673)300-4421,Rfrdrwkg.Jfv@my.fisk.edu,L0652618,Dept Approved,,,,,
93,K6712577,B.A.,Psychology,,,Vueudw X. Nlozt,VueudwNlozt,Vueudw,X,Nlozt,2022-05-02 00:00:00,XXXXXXX,,Birmingham ,AL,,37217,USA,(882)492-7681,Vueudw.Nlozt@my.fisk.edu,K6712577,Dept Approved,,,,,
94,H3512466,B.A.,Psychology,Summa Cum Laude  ,,Tgcsx V. Oroznj,TgcsxOroznj,Tgcsx,V,Oroznj,2022-05-02 00:00:00,XXXXXXX,,Jacksonville,FL,,32226,USA,(041)573-9848,Tgcsx.Oroznj@my.fisk.edu,H3512466,Dept Approved,,,,,
95,S2598517,B.A.,Psychology,Cum Laude  ,,Nddf X. Siphcbgj,NddfSiphcbgj,Nddf,X,Siphcbgj,2022-05-02 00:00:00,XXXXXXX,,Cincinnati ,OH,,45231,USA,(665)271-2260,Nddf.Siphcbgj@my.fisk.edu,S2598517,Dept Approved,,,,,
96,W3744636,B.A.,Psychology,Summa Cum Laude  ,,Fhkgx I. Ilzlrb,FhkgxIlzlrb,Fhkgx,I,Ilzlrb,2022-05-02 00:00:00,XXXXXXX,,South Euclid,OH,,44121,USA,(512)531-8616,Fhkgx.Ilzlrb@my.fisk.edu,W3744636,Dept Approved,,,,,
97,I6932122,B.A.,Psychology,Cum Laude  ,,Ziiwwm R. Zelgvkyky,ZiiwwmZelgvkyky,Ziiwwm,R,Zelgvkyky,2022-05-02 00:00:00,XXXXXXX,,Columbus,OH,,43209,USA,(524)664-0385,Ziiwwm.Zelgvkyky@my.fisk.edu,I6932122,Dept Approved,,,,,
98,H9789596,B.A.,Psychology,Summa Cum Laude  ,,Ymlkpaf I. Twdm,YmlkpafTwdm,Ymlkpaf,I,Twdm,2022-05-02 00:00:00,XXXXXXX,,Bartlett,TN,,38133,USA,(586)195-8517,Ymlkpaf.Twdm@my.fisk.edu,H9789596,Dept Approved,,,,,
99,I2443759,B.A.,Psychology ,,,Okf R. Cmixdk,OkfCmixdk,Okf,Re,Cmixdk,2022-05-02 00:00:00,XXXXXXX,,Summerville ,SC,,29483,USA,(490)831-9028,Okf.Cmixdk@my.fisk.edu,I2443759,Dept Approved,,,,,
100,Y4735456,B.A.,Psychology ,,,Irowgu A. Yudo,IrowguYudo,Irowgu,Avbgg,Yudo,2022-05-02 00:00:00,XXXXXXX,,Mount Juliet ,TN,,37122,USA,(857)229-7206,Irowgu.Yudo@my.fisk.edu,Y4735456,Dept Approved,,,,,
101,G5789560,B.A.,Psychology ,Cum Laude ,,Bxixgfp X. Zeehgp,BxixgfpZeehgp,Bxixgfp,X,Zeehgp,2022-05-02 00:00:00,XXXXXXX,,LaVergne,TN,,37086,USA,(016)139-7422,Bxixgfp.Zeehgp@my.fisk.edu,G5789560,Dept Approved,,,,,
102,L2483342,B.A.,Psychology ,Summa Cum Laude  ,,Udcpgn Y. Jweu,UdcpgnJweu,Udcpgn,Yk,Jweu,2022-05-02 00:00:00,XXXXXXX,,Milwaukee,WI,,53216,USA,(753)766-9111,Udcpgn.Jweu@my.fisk.edu,L2483342,Dept Approved,,,,,
103,N2108760,B.A.,Psychology ,,,Iiwlytvcr U. Qfobeetaq,IiwlytvcrQfobeetaq,Iiwlytvcr,Utwv,Qfobeetaq,2022-05-02 00:00:00,XXXXXXX,,Birmingham ,AL,,35215,USA,(585)235-4452,Iiwlytvcr.Qfobeetaq@my.fisk.edu,N2108760,Dept Approved,,,,,
104,P2834683,B.A.,Psychology ,Summa Cum Laude  ,,Uxewlkwyi H. Gssgi,UxewlkwyiGssgi,Uxewlkwyi,Hru,Gssgi,2022-05-02 00:00:00,XXXXXXX,,Memphis ,TN,,38116,USA,(634)300-4767,Uxewlkwyi.Gssgi@my.fisk.edu,P2834683,Dept Approved,,,,,
105,F8139536,B.A.,Psychology ,,,Awurib Y. Mwnzbq,AwuribMwnzbq,Awurib,Y,Mwnzbq,2022-05-02 00:00:00,XXXXXXX,,Memphis,TN,,38141,USA,(624)084-9108,Awurib.Mwnzbq@my.fisk.edu,F8139536,Dept Approved,,,,,Withdrew from FISK
106,Q9876697,B.A.,Psychology ,,,Umn T. Bzzyrjmdg,UmnBzzyrjmdg,Umn,Tijmj,Bzzyrjmdg,2022-05-02 00:00:00,XXXXXXX,Apt 6,Baltimore ,MD,,21229,USA,(594)824-1668,Umn.Bzzyrjmdg@my.fisk.edu,Q9876697,Dept Approved,,,,,
107,W5716105,B.A.,Psychology ,,,Pmeclgqbn C. Pmylpr,PmeclgqbnPmylpr,Pmeclgqbn,Cfl,Pmylpr,2022-05-02 00:00:00,XXXXXXX,,Fontana,CA,,92336,USA,(044)729-2028,Pmeclgqbn.Pmylpr@my.fisk.edu,W5716105,Dept Approved,,,,,
108,U5187888,B.A.,Psychology & Spanish,Magna Cum Laude ,,Zyrsqvhtj F. Jnoiayd,ZyrsqvhtjJnoiayd,Zyrsqvhtj,F,Jnoiayd,2022-05-02 00:00:00,XXXXXXX,,Richton Park,IL,,60471,USA,(813)199-1838,Zyrsqvhtj.Jnoiayd@my.fisk.edu,U5187888,Dept Approved,,,,,
109,M6218903,B.A.,Psychology (minor- sociology),,,Dvmxy A. Bngl,DvmxyBngl,Dvmxy,A,Bngl,2022-05-02 00:00:00,XXXXXXX,,Anderson,SC,,29621,USA,(593)510-8986,Dvmxy.Bngl@my.fisk.edu,M6218903,Dept Approved,,,,,
110,X2397910,B.A.,Sociology ,,,Lqsbay I. Hwcyxghr,LqsbayHwcyxghr,Lqsbay,Inib,Hwcyxghr,2022-05-02 00:00:00,XXXXXXX,Apt 115,Louisville ,KY,,40206,USA,(405)041-8361,Lqsbay.Hwcyxghr@my.fisk.edu,X2397910,Dept Approved,,,,,
111,J0020928,B.A.,Sociology ,Cum Laude  ,,Xaiwdnzm X. Ozzxxmah,XaiwdnzmOzzxxmah,Xaiwdnzm,Xnb,Ozzxxmah,2022-05-02 00:00:00,XXXXXXX,,Ashland City ,TN,,37015,USA,(310)608-7733,Xaiwdnzm.Ozzxxmah@my.fisk.edu,J0020928,Dept Approved,,,,,
112,X8898663,B.A.,Sociology ,,,Vdy C. Nmkksjfp,VdyNmkksjfp,Vdy,Cvdve,Nmkksjfp,2022-05-02 00:00:00,XXXXXXX,,Brooklyn,NY,,11234,USA,(905)297-2249,Vdy.Nmkksjfp@my.fisk.edu,X8898663,Dept Approved,,,,,
113,B8091716,B.A.,Sociology ,Summa Cum Laude  ,,Sodx S. Evaxi,SodxEvaxi,Sodx,Svrt,Evaxi,2022-05-02 00:00:00,XXXXXXX,Building O3,Nashville ,TN,,37211,USA,(285)703-8500,Sodx.Evaxi@my.fisk.edu,B8091716,Dept Approved,,,,,
114,X7073510,B.A.,Sociology ,,,Ckcoolee I. Qvlnld,CkcooleeQvlnld,Ckcoolee,I,Qvlnld,2022-05-02 00:00:00,XXXXXXX,,Chicago ,IL,,60628,USA,(493)384-6730,Ckcoolee.Qvlnld@my.fisk.edu,X7073510,Dept Approved,,,,,
115,P6443387,B.S.,Art,,,Buixk A. Yyynhy,BuixkYyynhy,Buixk,Apxz,Yyynhy,2022-05-02 00:00:00,XXXXXXX,,Chicago,IL,,60652,USA,(287)142-0087,Buixk.Yyynhy@my.fisk.edu,P6443387,Dept Approved,,,,,
116,O4950208,B.S.,Art,,,Zzenljfk G. Avqea,ZzenljfkAvqea,Zzenljfk,Gfkt,Avqea,2022-05-02 00:00:00,XXXXXXX,,Severn,MD,,21144,USA,(329)848-6728,Zzenljfk.Avqea@my.fisk.edu,O4950208,Dept Approved,,,,,
117,F6340247,B.S.,Art,Summa Cum Laude ,,Cnkcmjsx T. Npem,CnkcmjsxNpem,Cnkcmjsx,Tqeux,Npem,2022-05-02 00:00:00,XXXXXXX,Apt 116,Jackson,TN,,38305,USA,(925)506-9250,Cnkcmjsx.Npem@my.fisk.edu,F6340247,Dept Approved,,,,,
118,Z7310089,B.S.,Biochemistry & Molecular Biology ,Cum Laude  ,,Cfkr X. Jkmlhyo,CfkrJkmlhyo,Cfkr,Xr,Jkmlhyo,2022-05-02 00:00:00,XXXXXXX,,Indianapolis,IN,,46260,USA,(549)080-7370,Cfkr.Jkmlhyo@my.fisk.edu,Z7310089,Dept Approved,,,,,
119,P8262419,B.S.,Biochemistry & Molecular Biology ,Magna Cum Laude  ,,Qke H. Uhdaa,QkeUhdaa,Qke,Hwawa,Uhdaa,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37208,USA,(520)880-0031,Qke.Uhdaa@my.fisk.edu,P8262419,Dept Approved,,,,,
120,I5762540,B.S.,Biochemistry and Molecular Biology,Summa Cum Laude  ,,Vvrxo V. Cnsiqak,VvrxoCnsiqak,Vvrxo,Vn,Cnsiqak,2022-05-02 00:00:00,XXXXXXX,,Cypress,TX,,77433,USA,(519)412-5162,Vvrxo.Cnsiqak@my.fisk.edu,I5762540,Dept Approved,,,,,
121,Q1743567,B.S.,Biochemistry and Molecular Biology,Summa Cum Laude ,,Arcr E. Ixbo,ArcrIxbo,Arcr,E,Ixbo,2022-05-02 00:00:00,XXXXXXX,Apt 2905,Dallas,Tx,,75287,USA,(603)037-6675,Arcr.Ixbo@my.fisk.edu,Q1743567,Dept Approved,,,,,
122,S4411241,B.S.,Biochemistry and Molecular Biology,,,Hehjt J. Wmlndqi,HehjtWmlndqi,Hehjt,Jxkk,Wmlndqi,2022-05-02 00:00:00,XXXXXXX,,Chattanooga ,TN,,37410,USA,(185)576-9072,Hehjt.Wmlndqi@my.fisk.edu,S4411241,Dept Approved,,,,,
123,J2430640,B.S.,Biochemistry and Molecular Biology,Magna Cum Laude  ,,Dgeupnd Z. Euqkxota,DgeupndEuqkxota,Dgeupnd,Z,Euqkxota,2022-05-01 00:00:00,XXXXXXX,,Hattiesburg,MS,,39402,USA,(165)194-3983,Dgeupnd.Euqkxota@my.fisk.edu,J2430640,Dept Approved,,,,,
124,F9365635,B.S.,Biochemistry and Molecular Biology,Summa Cum Laude  ,,Kasoostdg O. Wiwapl,KasoostdgWiwapl,Kasoostdg,O,Wiwapl,2022-05-02 00:00:00,XXXXXXX,Apt 3,LAKEWOOD,NJ,,08701,USA,(531)532-8689,Kasoostdg.Wiwapl@my.fisk.edu,F9365635,Dept Approved,,,,,
125,N2027704,B.S.,Biochemistry and Molecular Biology,Summa Cum Laude  ,,Vlqp G. Uczqqvzpg,VlqpUczqqvzpg,Vlqp,G,Uczqqvzpg,2022-05-02 00:00:00,XXXXXXX,Apt 2905,Dallas,TX,,75287,USA,(653)999-3380,Vlqp.Uczqqvzpg@my.fisk.edu,N2027704,Dept Approved,,,,,
126,J6581206,B.S.,Biochemistry and Molecular Biology,Magna Cum Laude  ,,Tmfl W. Mcomwhza,TmflMcomwhza,Tmfl,Wtsu,Mcomwhza,2022-05-02 00:00:00,XXXXXXX,Suite #16,Nashville,TN,,37217,USA,(310)976-6628,Tmfl.Mcomwhza@my.fisk.edu,J6581206,Dept Approved,,,,,
127,I9805413,B.S.,Biochemistry and Molecular Biology,Magna Cum Laude ,,Pjduhj S. Iaah,PjduhjIaah,Pjduhj,Smhzc,Iaah,2022-05-02 00:00:00,XXXXXXX,,Olive Branch ,MS,,38654,USA,(690)211-0444,Pjduhj.Iaah@my.fisk.edu,I9805413,Dept Approved,,,,,
128,K3070787,B.S.,Biochemistry and Molecular Biology ,Summa Cum Laude ,,Ntuvmbwvj G. Epen,NtuvmbwvjEpen,Ntuvmbwvj,G,Epen,2022-05-02 00:00:00,XXXXXXX,,Columbia ,MD,,21044,USA,(076)131-7346,Ntuvmbwvj.Epen@my.fisk.edu,K3070787,Dept Approved,Late Submission,,,,
129,P0006795,B.S.,Biochemistry and Molecular Biology ,Magna Cum Laude ,,Drdmdnxvy O. Uiypzqy,DrdmdnxvyUiypzqy,Drdmdnxvy,Oo,Uiypzqy,2022-05-02 00:00:00,XXXXXXX,,Humble,TX,,77346,USA,(035)493-8191,Drdmdnxvy.Uiypzqy@my.fisk.edu,P0006795,Dept Approved,,,,,
130,M1020594,B.S.,Biochemistry and Molecular biology ,Magna Cum Laude ,,Ruvpumq M. Abafjztr,RuvpumqAbafjztr,Ruvpumq,Mxfsv,Abafjztr,2022-05-02 00:00:00,XXXXXXX,,Indianapolis,IN,,46268,USA,(544)347-9201,Ruvpumq.Abafjztr@my.fisk.edu,M1020594,Dept Approved,,,,,
131,C9941494,B.S.,Business Administration,Cum Laude  ,,Aejn U. Njmzlwktj,AejnNjmzlwktj,Aejn,Uu,Njmzlwktj,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37218,USA,(079)547-9211,Aejn.Njmzlwktj@my.fisk.edu,C9941494,Dept Approved,,,,,
132,M2865963,B.S.,Business Administration,,,Emmsyerop J. Jouyo,EmmsyeropJouyo,Emmsyerop,J,Jouyo,2022-05-02 00:00:00,XXXXXXX,,CHICAGO,IL,,60637,USA,(147)119-4959,Emmsyerop.Jouyo@my.fisk.edu,M2865963,Dept Approved,,,,,
133,E2892733,B.S.,Business Administration,,,Iugmif H. Nyosz,IugmifNyosz,Iugmif,Hcnh,Nyosz,2022-05-02 00:00:00,XXXXXXX,,Chicago Heights,IL,,60411,USA,(306)628-1199,Iugmif.Nyosz@my.fisk.edu,E2892733,Dept Approved,,,,,
134,A0072152,B.S.,Business Administration,Magna Cum Laude  ,,Rlvq V. Jkj,RlvqJkj,Rlvq,Valkm,Jkj,2022-05-02 00:00:00,XXXXXXX,,Woodbridge,VA,,22192,USA,(117)266-4038,Rlvq.Jkj@my.fisk.edu,A0072152,Dept Approved,,,,,
135,N0982814,B.S.,Business Administration ,Cum Laude  ,,Jrocjwe N. Euldac,JrocjweEuldac,Jrocjwe,N,Euldac,2022-05-02 00:00:00,XXXXXXX,,Milwaukee,WI,,53209,USA,(669)598-6812,Jrocjwe.Euldac@my.fisk.edu,N0982814,Dept Approved,,,,,
136,I1436836,B.S.,Business Administration ,,,Ivlgkmdjc E. Fjhiqd,IvlgkmdjcFjhiqd,Ivlgkmdjc,Eqax,Fjhiqd,2022-05-02 00:00:00,XXXXXXX,,Antioch,TN,,37013,USA,(759)387-6133,Ivlgkmdjc.Fjhiqd@my.fisk.edu,I1436836,Dept Approved,,,,,
137,S9279970,B.S.,Business Administration ,Cum Laude  ,,Kuwzucy I. Usieoc,KuwzucyUsieoc,Kuwzucy,I,Usieoc,2022-05-02 00:00:00,XXXXXXX,Apt.C ,Ballwin,MO,,63021,USA,(253)903-0465,Kuwzucy.Usieoc@my.fisk.edu,S9279970,Dept Approved,,,,,
138,Z2443071,B.S.,Business Administration ,Cum Laude ,,Lstrghgx X. Lmalhx,LstrghgxLmalhx,Lstrghgx,X,Lmalhx,2022-05-02 00:00:00,XXXXXXX,,Nashville ,TN,,37208,USA,(696)461-8738,Lstrghgx.Lmalhx@my.fisk.edu,Z2443071,Dept Approved,,,,,
139,S2696488,B.S.,Business Administration & Data Science ,Cum Laude ,,Qjb F. Exs,QjbExs,Qjb,Fts,Exs,2022-05-02 00:00:00,XXXXXXX,,Arcadia,Ok,,73007,USA,(475)415-8588,Qjb.Exs@my.fisk.edu,S2696488,Dept Approved,,,,,
140,Z2014437,B.S.,Business Administration Concentration Accounting,,,Myyls Y. Ubkscfmc,MyylsUbkscfmc,Myyls,Yvcwg,Ubkscfmc,2022-05-02 00:00:00,XXXXXXX,,Nashville ,TN,,37211,USA,(182)776-5372,Myyls.Ubkscfmc@my.fisk.edu,Z2014437,Dept Approved,,,,,
141,K2700984,B.S.,Business Administration non-concentration,,Keidejaha Paradise Burke,Anx X. Braehdo,AnxBraehdo,Anx,X,Braehdo,3439 w Madison street ,XXXXXXX,Chicago ,IL,,60624,USA,(615) 512-0276,(126)638-2604,Anx.Braehdo@my.fisk.edu,K2700984,,,,,,
142,R4225147,B.S.,Business Administration Concentration Accounting,Summa Cum Laude  ,,Wbv Y. Plq,WbvPlq,Wbv,Y,Plq,2022-05-02 00:00:00,XXXXXXX,,Mobile,AL,,36608,USA,(277)815-8544,Wbv.Plq@my.fisk.edu,R4225147,Dept Approved,,,,,
143,D5140449,B.S.,Business Administration Concentration in Financial Economics,,,Khqgjai B. Lkbi,KhqgjaiLkbi,Khqgjai,Bpbo,Lkbi,2022-05-02 00:00:00,XXXXXXX,,Memphis,TN,,38018,USA,(787)722-1800,Khqgjai.Lkbi@my.fisk.edu,D5140449,Dept Approved,,,,,
144,C0355312,B.S.,Business Administration Concentration in International Business,Summa Cum Laude  ,,Imeepez P. Dbqjmndql,ImeepezDbqjmndql,Imeepez,P,Dbqjmndql,2022-05-02 00:00:00,XXXXXXX,,Atlanta,GA,,30349,USA,(014)246-8658,Imeepez.Dbqjmndql@my.fisk.edu,C0355312,Dept Approved,,,,,
145,H0729969,B.S.,Business administration Concentration in Management,,,Jgvqoh O. Rng,JgvqohRng,Jgvqoh,Oc,Rng,2022-05-02 00:00:00,XXXXXXX,,Montgomery ,AL,,36116,USA,(167)079-2652,Jgvqoh.Rng@my.fisk.edu,H0729969,Dept Approved,,,,,
146,P7414454,B.S.,Business Administration Concentration International Business,Summa Cum Laude ,,Ydhglmxkk N. Rro,YdhglmxkkRro,Ydhglmxkk,Ncz,Rro,2022-05-02 00:00:00,XXXXXXX,,Bloomingdale,IL,,60108,USA,(764)322-2079,Ydhglmxkk.Rro@my.fisk.edu,P7414454,Dept Approved,,,,,
147,C9270785,B.S.,Business administration Concentration Management,Cum Laude  ,,Udacyootl Z. Ualiqreu,UdacyootlUaliqreu,Udacyootl,Z,Ualiqreu,2022-05-02 00:00:00,XXXXXXX,,Detroit,MI,,48219-1118,USA,(366)734-8709,Udacyootl.Ualiqreu@my.fisk.edu,C9270785,Dept Approved,,,,,
148,H8795514,B.S.,Business Administration Concentration Management,,,Exjlckw B. Ykkqh,ExjlckwYkkqh,Exjlckw,Bvo,Ykkqh,2022-05-02 00:00:00,XXXXXXX,,Lancaster ,TX,,75146,USA,(034)279-5707,Exjlckw.Ykkqh@my.fisk.edu,H8795514,Dept Approved,,,,,
149,P3056349,B.S.,Business Administration Concentration Management ,,,Ecjpny S. Ifh,EcjpnyIfh,Ecjpny,Srg,Ifh,2022-05-02 00:00:00,XXXXXXX,,Brunswick,GA,,31525,USA,(872)283-6575,Ecjpny.Ifh@my.fisk.edu,P3056349,Dept Approved,,,,,
150,T6395170,B.S.,Business Administration Concentration Music Business,Summa Cum Laude  ,,Cwxsuq Y. Qckurfveu,CwxsuqQckurfveu,Cwxsuq,Yqr,Qckurfveu,2022-05-02 00:00:00,XXXXXXX,,Evansville,IN,,47714,USA,(932)600-3572,Cwxsuq.Qckurfveu@my.fisk.edu,T6395170,Dept Approved,,,,,
151,V8052172,B.S.,Business Administration- International Business,Summa Cum Laude  ,,Kcruzgf O. Ebum,KcruzgfEbum,Kcruzgf,Op,Ebum,2022-05-02 00:00:00,XXXXXXX,,Stockbridge,GA,,30281,USA,(791)313-4933,Kcruzgf.Ebum@my.fisk.edu,V8052172,Dept Approved,,,,,
152,N1412260,B.S.,Business Administration Non-Concentration,Magna Cum Laude  ,,Ffdfdpo C. Zmi,FfdfdpoZmi,Ffdfdpo,Cmvwr,Zmi,2022-05-02 00:00:00,XXXXXXX,,Hazel Park,MI,,48030,USA,(722)961-1528,Ffdfdpo.Zmi@my.fisk.edu,N1412260,Dept Approved,,,,,
153,P8319507,B.S.,Business Administration Non-Concentration,,,Oani U. Vpi,OaniVpi,Oani,U,Vpi,2022-05-02 00:00:00,XXXXXXX,,Kettering,OH,,45429,USA,(340)939-3686,Oani.Vpi@my.fisk.edu,P8319507,Dept Approved,,,,,
154,I9223096,B.S.,Business Administration non-concentration,,,Jzhjqxcf L. Hfnrpwrxc,JzhjqxcfHfnrpwrxc,Jzhjqxcf,Lnez,Hfnrpwrxc,2022-05-02 00:00:00,XXXXXXX,,Kettering,OH,,45429,USA,(717)741-6483,Jzhjqxcf.Hfnrpwrxc@my.fisk.edu,I9223096,Dept Approved,,,,,
155,N0500271,B.S.,Business Administration Non-Concentration,Magna Cum Laude  ,,Lczvvjntt S. Htih,LczvvjnttHtih,Lczvvjntt,Sftb,Htih,2022-05-02 00:00:00,XXXXXXX,,Bowie,MD,,20715,USA,(733)992-7746,Lczvvjntt.Htih@my.fisk.edu,N0500271,Dept Approved,,,,,
156,J8797402,B.S.,Business Administration non-concentration ,,,Qwml D. Dwjmibofu,QwmlDwjmibofu,Qwml,D,Dwjmibofu,2022-05-02 00:00:00,XXXXXXX,,Brentwood,TN,,37027,USA,(847)567-6139,Qwml.Dwjmibofu@my.fisk.edu,J8797402,Dept Approved,,,,,
157,B7168928,B.S.,Computer Science,Summa Cum Laude  ,,Gakb R. Uvyon,GakbUvyon,Gakb,R,Uvyon,2022-05-02 00:00:00,XXXXXXX,,Lebanon,TN,,37090,USA,(212)269-7365,Gakb.Uvyon@my.fisk.edu,B7168928,Dept Approved,,,,,
158,N7985030,B.S.,Computer Science,Summa Cum Laude  ,,Doqzkjn W. Ipylixr,DoqzkjnIpylixr,Doqzkjn,W,Ipylixr,2022-05-02 00:00:00,XXXXXXX,Unit 231,Seattle,WA,,98109,USA,(542)816-9275,Doqzkjn.Ipylixr@my.fisk.edu,N7985030,Dept Approved,,,,,
159,P1844683,B.S.,Computer science,Cum Laude  ,,Nnq Z. Jtngktqbp,NnqJtngktqbp,Nnq,Z,Jtngktqbp,2022-05-02 00:00:00,XXXXXXX,,Franklin,TN,,37064,USA,(727)634-7671,Nnq.Jtngktqbp@my.fisk.edu,P1844683,Dept Approved,"Has one class to take, enrolled in Columbia State",,,,
160,D8110036,B.S.,Computer Science,Summa Cum Laude ,,Ebxwfaoh Z. Wkp,EbxwfaohWkp,Ebxwfaoh,Z,Wkp,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37221,USA,(078)468-0429,Ebxwfaoh.Wkp@my.fisk.edu,D8110036,Dept Approved,,,,,
161,E7408815,B.S.,Computer Science,Summa Cum Laude  ,,Iuas N. Msxuglsl,IuasMsxuglsl,Iuas,Nbp,Msxuglsl,2022-05-02 00:00:00,XXXXXXX,Apt 1B,Union City,NJ,,07087,USA,(716)611-7664,Iuas.Msxuglsl@my.fisk.edu,E7408815,Dept Approved,,,,,
162,P2812335,B.S.,Computer Science,Summa Cum Laude  ,,Ywemcdk B. Yqbbm,YwemcdkYqbbm,Ywemcdk,B,Yqbbm,2022-05-02 00:00:00,XXXXXXX,,Upper Marlboro,MD,,20774,USA,(455)844-8465,Ywemcdk.Yqbbm@my.fisk.edu,P2812335,Dept Approved,,,,,
163,R5637736,B.S.,Computer Science ,Cum Laude ,,Ttpx D. Uiufgal,TtpxUiufgal,Ttpx,Dblc,Uiufgal,2022-05-02 00:00:00,XXXXXXX,Apt B,Raleigh ,NC,,27606,USA,(199)833-2739,Ttpx.Uiufgal@my.fisk.edu,R5637736,Dept Approved,Late Submission,,,,
164,S0086066,B.S.,Data Science,,,Ubnr I. Hyjleptlk,UbnrHyjleptlk,Ubnr,I,Hyjleptlk,2022-05-02 00:00:00,XXXXXXX,,Nashville,TN,,37217,USA,(500)572-7411,Ubnr.Hyjleptlk@my.fisk.edu,S0086066,Dept Approved,,,,,
165,A6932010,B.S.,Data Science,,,Hxntspmr Y. Xfpjiy,HxntspmrXfpjiy,Hxntspmr,Y,Xfpjiy,2022-05-02 00:00:00,XXXXXXX,,Snellville ,GA,,30078,USA,(695)415-3162,Hxntspmr.Xfpjiy@my.fisk.edu,A6932010,Dept Approved,,,,,
166,Y5002227,B.S.,Data Science,Summa Cum Laude  ,,Batyzrkqg L. Rxfpvtjf,BatyzrkqgRxfpvtjf,Batyzrkqg,L,Rxfpvtjf,2022-05-02 00:00:00,XXXXXXX,,Brentwood,TN,,37027,USA,(472)243-0616,Batyzrkqg.Rxfpvtjf@my.fisk.edu,Y5002227,Dept Approved,,,,,
167,U7701292,B.S.,Data Science,Cum Laude  ,,Ukqp U. Exfcyw,UkqpExfcyw,Ukqp,Umtza,Exfcyw,2022-05-02 00:00:00,XXXXXXX,,matteson,IL,,60443,USA,(873)798-7778,Ukqp.Exfcyw@my.fisk.edu,U7701292,Dept Approved,,,,,
